symbol,date,open,high,low,close,volume,adjusted
AAPL,1990-01-02,0.314732,0.334821,0.3125,0.332589,183198400,0.266423
AAPL,1990-01-03,0.339286,0.339286,0.334821,0.334821,207995200,0.268211
AAPL,1990-01-04,0.341518,0.345982,0.332589,0.335938,221513600,0.269106
AAPL,1990-01-05,0.337054,0.341518,0.330357,0.337054,123312000,0.27
AAPL,1990-01-08,0.334821,0.339286,0.330357,0.339286,101572800,0.271788
AAPL,1990-01-09,0.339286,0.339286,0.330357,0.335938,86139200,0.269106
AAPL,1990-01-10,0.335938,0.335938,0.319196,0.321429,199718400,0.257483
AAPL,1990-01-11,0.323661,0.323661,0.308036,0.308036,211052800,0.246755
AAPL,1990-01-12,0.305804,0.310268,0.301339,0.308036,171897600,0.246755
AAPL,1990-01-15,0.308036,0.319196,0.305804,0.305804,161739200,0.244967
AAPL,1990-01-16,0.299107,0.3125,0.292411,0.311384,214244800,0.249437
AAPL,1990-01-17,0.310268,0.310268,0.294643,0.296875,197299200,0.237814
AAPL,1990-01-18,0.294643,0.299107,0.287946,0.289063,273291200,0.231556
AAPL,1990-01-19,0.301339,0.308036,0.299107,0.305804,265137600,0.244967
AAPL,1990-01-22,0.303571,0.308036,0.296875,0.296875,145611200,0.237814
AAPL,1990-01-23,0.301339,0.305804,0.294643,0.301339,140873600,0.24139
AAPL,1990-01-24,0.290179,0.305804,0.287946,0.303571,169792000,0.243178
AAPL,1990-01-25,0.305804,0.310268,0.303571,0.304688,111540800,0.244073
AAPL,1990-01-26,0.303571,0.303571,0.287946,0.292411,181249600,0.234238
AAPL,1990-01-29,0.294643,0.299107,0.28683,0.296875,119929600,0.237814
AAPL,1990-01-30,0.296875,0.308036,0.294643,0.303571,116446400,0.243178
AAPL,1990-01-31,0.308036,0.310268,0.294643,0.303571,143942400,0.243178
AAPL,1990-02-01,0.308036,0.309152,0.299107,0.300223,117073600,0.240496
AAPL,1990-02-02,0.296875,0.310268,0.296875,0.305804,118473600,0.244967
AAPL,1990-02-05,0.305804,0.314732,0.303571,0.3125,101752000,0.250331
AAPL,1990-02-06,0.310268,0.3125,0.303571,0.310268,73920000,0.248543
AAPL,1990-02-07,0.294643,0.303571,0.290179,0.296875,312446400,0.237814
AAPL,1990-02-08,0.296875,0.299107,0.287946,0.294643,186636800,0.236026
AAPL,1990-02-09,0.299107,0.308036,0.296875,0.305804,168078400,0.244967
AAPL,1990-02-12,0.305804,0.308036,0.301339,0.303571,74916800,0.243178
AAPL,1990-02-13,0.303571,0.3125,0.301339,0.308036,102166400,0.246755
AAPL,1990-02-14,0.308036,0.310268,0.301339,0.305804,96062400,0.244967
AAPL,1990-02-15,0.301339,0.305804,0.299107,0.305804,97966400,0.244967
AAPL,1990-02-16,0.305804,0.308036,0.301339,0.301339,127209600,0.242168
AAPL,1990-02-20,0.299107,0.301339,0.294643,0.299107,123244800,0.240374
AAPL,1990-02-21,0.292411,0.305804,0.290179,0.303571,175907200,0.243961
AAPL,1990-02-22,0.303571,0.308036,0.294643,0.294643,195182400,0.236787
AAPL,1990-02-23,0.292411,0.299107,0.292411,0.296875,149956800,0.23858
AAPL,1990-02-26,0.294643,0.305804,0.294643,0.303571,79609600,0.243961
AAPL,1990-02-27,0.303571,0.305804,0.299107,0.299107,73953600,0.240374
AAPL,1990-02-28,0.299107,0.303571,0.296875,0.303571,109334400,0.243961
AAPL,1990-03-01,0.299107,0.310268,0.296875,0.305804,203896000,0.245756
AAPL,1990-03-02,0.299107,0.310268,0.296875,0.301339,104899200,0.242168
AAPL,1990-03-05,0.299107,0.310268,0.299107,0.308036,182470400,0.24755
AAPL,1990-03-06,0.3125,0.314732,0.308036,0.314732,156016000,0.252931
AAPL,1990-03-07,0.3125,0.321429,0.3125,0.315848,204220800,0.253828
AAPL,1990-03-08,0.319196,0.330357,0.3125,0.328125,223843200,0.263694
AAPL,1990-03-09,0.328125,0.334821,0.323661,0.329241,230473600,0.264591
AAPL,1990-03-12,0.332589,0.334821,0.323661,0.327009,163956800,0.262797
AAPL,1990-03-13,0.325893,0.332589,0.323661,0.329241,148579200,0.264591
AAPL,1990-03-14,0.328125,0.332589,0.325893,0.330357,101785600,0.265488
AAPL,1990-03-15,0.325893,0.339286,0.325893,0.328125,120232000,0.263694
AAPL,1990-03-16,0.357143,0.363839,0.34933,0.359375,644761600,0.288808
AAPL,1990-03-19,0.361607,0.379464,0.357143,0.378348,431793600,0.304055
AAPL,1990-03-20,0.377232,0.383929,0.363839,0.36942,391316800,0.29688
AAPL,1990-03-21,0.368304,0.377232,0.368304,0.371652,152734400,0.298674
AAPL,1990-03-22,0.372768,0.377232,0.363839,0.363839,231660800,0.292395
AAPL,1990-03-23,0.368304,0.383929,0.366071,0.377232,227987200,0.303158
AAPL,1990-03-26,0.379464,0.387277,0.375,0.377232,128060800,0.303158
AAPL,1990-03-27,0.375,0.377232,0.368304,0.375,84604800,0.301365
AAPL,1990-03-28,0.375,0.376116,0.366071,0.368304,102939200,0.295983
AAPL,1990-03-29,0.366071,0.370536,0.363839,0.367188,96891200,0.295087
AAPL,1990-03-30,0.357143,0.366071,0.357143,0.359375,223350400,0.288808
AAPL,1990-04-02,0.357143,0.362723,0.352679,0.359375,148769600,0.288808
AAPL,1990-04-03,0.361607,0.372768,0.361607,0.372768,139708800,0.299571
AAPL,1990-04-04,0.370536,0.375,0.363839,0.368304,149732800,0.295983
AAPL,1990-04-05,0.366071,0.368304,0.357143,0.359375,108192000,0.288808
AAPL,1990-04-06,0.359375,0.368304,0.354911,0.356027,118238400,0.286117
AAPL,1990-04-09,0.354911,0.370536,0.352679,0.367188,105481600,0.295087
AAPL,1990-04-10,0.368304,0.375,0.366071,0.368304,131320000,0.295983
AAPL,1990-04-11,0.370536,0.383929,0.370536,0.379464,213158400,0.304952
AAPL,1990-04-12,0.383929,0.392857,0.379464,0.386161,211803200,0.310334
AAPL,1990-04-16,0.388393,0.395089,0.386161,0.390625,226889600,0.313922
AAPL,1990-04-17,0.386161,0.388393,0.381696,0.386161,131107200,0.310334
AAPL,1990-04-18,0.386161,0.390625,0.379464,0.386161,193446400,0.310334
AAPL,1990-04-19,0.372768,0.385045,0.357143,0.359375,481476800,0.288808
AAPL,1990-04-20,0.364955,0.370536,0.354911,0.359375,323523200,0.288808
AAPL,1990-04-23,0.359375,0.361607,0.352679,0.354911,128352000,0.28522
AAPL,1990-04-24,0.357143,0.361607,0.34375,0.345982,303732800,0.278045
AAPL,1990-04-25,0.345982,0.348214,0.341518,0.345982,132574400,0.278045
AAPL,1990-04-26,0.348214,0.352679,0.340402,0.347098,142161600,0.278942
AAPL,1990-04-27,0.348214,0.352679,0.345982,0.34933,116412800,0.280735
AAPL,1990-04-30,0.350446,0.354911,0.348214,0.351563,136393600,0.28253
AAPL,1990-05-01,0.354911,0.357143,0.351563,0.353795,163609600,0.284324
AAPL,1990-05-02,0.354911,0.357143,0.350446,0.354911,135430400,0.28522
AAPL,1990-05-03,0.354911,0.359375,0.354911,0.357143,166308800,0.287014
AAPL,1990-05-04,0.357143,0.363839,0.350446,0.357143,169534400,0.287014
AAPL,1990-05-07,0.354911,0.372768,0.354911,0.370536,135990400,0.297777
AAPL,1990-05-08,0.366071,0.375,0.366071,0.372768,112459200,0.299571
AAPL,1990-05-09,0.371652,0.375,0.368304,0.373884,97238400,0.300468
AAPL,1990-05-10,0.372768,0.372768,0.361607,0.36942,179043200,0.29688
AAPL,1990-05-11,0.36942,0.381696,0.363839,0.38058,215241600,0.305849
AAPL,1990-05-14,0.381696,0.381696,0.368304,0.372768,226385600,0.299571
AAPL,1990-05-15,0.36942,0.375,0.366071,0.372768,149385600,0.299571
AAPL,1990-05-16,0.372768,0.372768,0.366071,0.371652,87304000,0.298674
