"County","State","Population"
"Autauga County","Alabama",56145
"Baldwin County","Alabama",229287
"Barbour County","Alabama",24589
"Bibb County","Alabama",22136
"Blount County","Alabama",57879
"Bullock County","Alabama",9976
"Butler County","Alabama",19504
"Calhoun County","Alabama",113469
"Chambers County","Alabama",32865
"Cherokee County","Alabama",26294
"Chilton County","Alabama",44397
"Choctaw County","Alabama",12418
"Clarke County","Alabama",23291
"Clay County","Alabama",13112
"Cleburne County","Alabama",14967
"Coffee County","Alabama",53230
"Colbert County","Alabama",55411
"Conecuh County","Alabama",11851
"Coosa County","Alabama",10650
"Covington County","Alabama",36930
"Crenshaw County","Alabama",13681
"Cullman County","Alabama",84515
"Dale County","Alabama",48959
"Dallas County","Alabama",36098
"DeKalb County","Alabama",71658
"Elmore County","Alabama",82158
"Escambia County","Alabama",36281
"Etowah County","Alabama",102371
"Fayette County","Alabama",16241
"Franklin County","Alabama",31507
"Geneva County","Alabama",26411
"Greene County","Alabama",7990
"Hale County","Alabama",14670
"Henry County","Alabama",17223
"Houston County","Alabama",106580
"Jackson County","Alabama",51582
"Jefferson County","Alabama",655342
"Lamar County","Alabama",13764
"Lauderdale County","Alabama",93368
"Lawrence County","Alabama",32857
"Lee County","Alabama",166831
"Limestone County","Alabama",102228
"Lowndes County","Alabama",9641
"Macon County","Alabama",17895
"Madison County","Alabama",379453
"Marengo County","Alabama",18733
"Marion County","Alabama",29703
"Marshall County","Alabama",96990
"Mobile County","Alabama",412716
"Monroe County","Alabama",20459
"Montgomery County","Alabama",224639
"Morgan County","Alabama",119883
"Perry County","Alabama",8687
"Pickens County","Alabama",19793
"Pike County","Alabama",32966
"Randolph County","Alabama",22920
"Russell County","Alabama",58237
"St. Clair County","Alabama",90739
"Shelby County","Alabama",221428
"Sumter County","Alabama",12225
"Talladega County","Alabama",79985
"Tallapoosa County","Alabama",40133
"Tuscaloosa County","Alabama",210758
"Walker County","Alabama",63143
"Washington County","Alabama",15976
"Wilcox County","Alabama",10206
"Winston County","Alabama",23508
"Aleutians East Borough","Alaska",3401
"Aleutians West Census Area","Alaska",5680
"Anchorage Municipality","Alaska",287095
"Bethel Census Area","Alaska",18437
"Bristol Bay Borough","Alaska",788
"Chugach Census Area","Alaska",6427
"Copper River Census Area","Alaska",2919
"Denali Borough","Alaska",2081
"Dillingham Census Area","Alaska",4833
"Fairbanks North Star Borough","Alaska",95651
"Haines Borough","Alaska",2614
"Hoonah-Angoon Census Area","Alaska",2141
"Juneau City and Borough","Alaska",31849
"Kenai Peninsula Borough","Alaska",59414
"Ketchikan Gateway Borough","Alaska",13747
"Kodiak Island Borough","Alaska",12992
"Kusilvak Census Area","Alaska",8328
"Lake and Peninsula Borough","Alaska",1493
"Matanuska-Susitna Borough","Alaska",110213
"Nome Census Area","Alaska",9909
"North Slope Borough","Alaska",9294
"Northwest Arctic Borough","Alaska",7644
"Petersburg Borough","Alaska",3296
"Prince of Wales-Hyder Census Area","Alaska",6147
"Sitka City and Borough","Alaska",8405
"Skagway Municipality","Alaska",1179
"Southeast Fairbanks Census Area","Alaska",6957
"Wrangell City and Borough","Alaska",2510
"Yakutat City and Borough","Alaska",637
"Yukon-Koyukuk Census Area","Alaska",5077
"Apache County","Arizona",71875
"Cochise County","Arizona",127450
"Coconino County","Arizona",142481
"Gila County","Arizona",54303
"Graham County","Arizona",39211
"Greenlee County","Arizona",9341
"La Paz County","Arizona",21480
"Maricopa County","Arizona",4579081
"Mohave County","Arizona",217206
"Navajo County","Arizona",112112
"Pima County","Arizona",1061175
"Pinal County","Arizona",480828
"Santa Cruz County","Arizona",46808
"Yavapai County","Arizona",240226
"Yuma County","Arizona",217824
"Arkansas County","Arkansas",17383
"Ashley County","Arkansas",19339
"Baxter County","Arkansas",42242
"Benton County","Arkansas",288774
"Boone County","Arkansas",37625
"Bradley County","Arkansas",10639
"Calhoun County","Arkansas",5113
"Carroll County","Arkansas",28276
"Chicot County","Arkansas",9924
"Clark County","Arkansas",22103
"Clay County","Arkansas",14375
"Cleburne County","Arkansas",24935
"Cleveland County","Arkansas",7957
"Columbia County","Arkansas",23331
"Conway County","Arkansas",21037
"Craighead County","Arkansas",112245
"Crawford County","Arkansas",63409
"Crittenden County","Arkansas",47616
"Cross County","Arkansas",16142
"Dallas County","Arkansas",6802
"Desha County","Arkansas",11110
"Drew County","Arkansas",17977
"Faulkner County","Arkansas",126919
"Franklin County","Arkansas",17897
"Fulton County","Arkansas",12381
"Garland County","Arkansas",99789
"Grant County","Arkansas",18449
"Greene County","Arkansas",45597
"Hempstead County","Arkansas",21253
"Hot Spring County","Arkansas",33787
"Howard County","Arkansas",13109
"Independence County","Arkansas",37757
"Izard County","Arkansas",13613
"Jackson County","Arkansas",16636
"Jefferson County","Arkansas",65377
"Johnson County","Arkansas",26513
"Lafayette County","Arkansas",6596
"Lawrence County","Arkansas",16410
"Lee County","Arkansas",8513
"Lincoln County","Arkansas",12944
"Little River County","Arkansas",12180
"Logan County","Arkansas",21410
"Lonoke County","Arkansas",73921
"Madison County","Arkansas",16644
"Marion County","Arkansas",16790
"Miller County","Arkansas",43177
"Mississippi County","Arkansas",40066
"Monroe County","Arkansas",6584
"Montgomery County","Arkansas",9006
"Nevada County","Arkansas",8099
"Newton County","Arkansas",7602
"Ouachita County","Arkansas",23167
"Perry County","Arkansas",10327
"Phillips County","Arkansas",17299
"Pike County","Arkansas",10643
"Poinsett County","Arkansas",23283
"Polk County","Arkansas",19707
"Pope County","Arkansas",64334
"Prairie County","Arkansas",7966
"Pulaski County","Arkansas",392980
"Randolph County","Arkansas",18247
"St. Francis County","Arkansas",24682
"Saline County","Arkansas",123968
"Scott County","Arkansas",10164
"Searcy County","Arkansas",7842
"Sebastian County","Arkansas",127590
"Sevier County","Arkansas",16702
"Sharp County","Arkansas",17424
"Stone County","Arkansas",12674
"Union County","Arkansas",38219
"Van Buren County","Arkansas",16541
"Washington County","Arkansas",243216
"White County","Arkansas",78729
"Woodruff County","Arkansas",6264
"Yell County","Arkansas",21181
"Alameda County","California",1662323
"Alpine County","California",1119
"Amador County","California",40083
"Butte County","California",212744
"Calaveras County","California",46308
"Colusa County","California",21558
"Contra Costa County","California",1152333
"Del Norte County","California",27968
"El Dorado County","California",192925
"Fresno County","California",1000918
"Glenn County","California",28283
"Humboldt County","California",134977
"Imperial County","California",180267
"Inyo County","California",18046
"Kern County","California",901362
"Kings County","California",152692
"Lake County","California",64479
"Lassen County","California",30016
"Los Angeles County","California",9943046
"Madera County","California",157761
"Marin County","California",257332
"Mariposa County","California",17160
"Mendocino County","California",86061
"Merced County","California",279252
"Modoc County","California",8763
"Mono County","California",14534
"Monterey County","California",430906
"Napa County","California",135965
"Nevada County","California",99606
"Orange County","California",3166857
"Placer County","California",402950
"Plumas County","California",18967
"Riverside County","California",2489188
